Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Rec.Lng,YAC,Rec.1stD,Rec.TD,Rush,Rush.Yds,Rush.YG,Rush.Avg,Rush.TD,Fum,FumL,year
 Brandon Myers,OAK,16,16,NA,151,9.4,9.4,24,3.9,8,0,0,0,0,NA,0,0,0,2011
 Anthony McCoy,SEA,16,13,NA,146,9.1,11.2,31,5.6,7,0,0,0,0,NA,0,0,0,2011
 Martellus Bennett,DAL,14,17,NA,144,10.3,8.5,15,6,7,0,0,0,0,NA,0,0,0,2011
 Logan Paulsen,WAS,16,11,NA,138,8.6,12.5,24,5.6,7,0,0,0,0,NA,0,0,0,2011
 Bear Pascoe,NYG,16,12,NA,136,8.5,11.3,22,7.9,7,0,0,0,0,NA,0,0,0,2011
 Rob Housler,ARI,12,12,NA,133,11.1,11.1,21,4.8,5,0,0,0,0,NA,0,1,1,2011
 Alex Smith,CLE,14,14,NA,131,9.4,9.4,20,4.1,9,1,0,0,0,NA,0,0,0,2011
 Dante Rosario,DEN,14,7,NA,117,7.3,16.7,32,4.9,4,0,0,0,0,NA,0,0,0,2011
 Donald Lee,CIN,9,11,NA,115,12.8,10.5,26,6.5,5,0,0,0,0,NA,0,0,0,2011
 John Phillips,DAL,16,15,NA,101,6.3,6.7,12,6.5,4,1,0,0,0,NA,0,0,0,2011
 Travis Beckum,NYG,13,5,NA,93,7.2,18.6,67,8.4,2,1,0,0,0,NA,0,0,0,2011
 Luke Stocker,TAM,14,12,NA,92,6.6,7.7,24,3.9,5,0,0,0,0,NA,0,0,0,2011
 Michael Hoomanawanui,STL,8,7,NA,83,10.4,11.9,27,8.9,4,0,0,0,0,NA,0,0,0,2011
 Cameron Morrah,SEA,9,6,NA,74,8.2,12.3,21,6.5,4,0,1,1,0.1,1,0,0,0,2011
 Michael Palmer,ATL,16,10,NA,72,4.5,7.2,11,5.1,3,1,0,0,0,NA,0,0,0,2011
 Billy Bajema,STL,16,9,NA,71,4.4,7.9,19,2.1,2,0,0,0,0,NA,0,0,0,2011
 Chris Cooley,WAS,5,8,NA,65,13,8.1,17,5.4,3,0,2,3,0.6,1.5,0,0,0,2011
 Matthew Mulligan,NYJ,16,5,NA,58,3.6,11.6,41,7.8,1,0,0,0,0,NA,0,0,0,2011
 Colin Cloherty,JAC,4,4,NA,57,14.3,14.3,21,8.5,3,0,0,0,0,NA,0,0,0,2011
 Jake O'Connell,KAN,8,7,NA,52,6.5,7.4,15,3,4,0,0,0,0,NA,0,0,0,2011
 Zach Potter,JAC,15,5,NA,50,3.3,10,22,7.8,1,0,0,0,0,NA,0,0,0,2011
 Matt Spaeth,CHI,15,7,NA,50,3.3,7.1,13,3,4,2,0,0,0,NA,0,0,0,2011
 Brody Eldridge,IND,13,9,NA,45,3.5,5,8,1.8,2,0,0,0,0,NA,0,0,0,2011
 Colin Cochart,CIN,10,5,NA,44,4.4,8.8,25,4.6,3,1,0,0,0,NA,0,0,0,2011
 Zach Miller,JAC,4,4,NA,42,10.5,10.5,14,4,2,1,0,0,0,NA,0,0,0,2011
 Will Heller,DET,16,6,NA,42,2.6,7,12,3.8,3,0,0,0,0,NA,0,0,0,2011
 Mike Caussin,BUF,6,5,NA,41,6.8,8.2,13,2.2,2,0,0,0,0,NA,0,0,0,2011
 Zack Pianalto,TAM,13,4,NA,40,3.1,10,15,3.3,2,0,0,0,0,NA,0,0,0,2011
 Tom Crabtree,GNB,16,6,NA,38,2.4,6.3,15,3.3,4,1,0,0,0,NA,0,0,0,2011
 Andrew Quarless,GNB,10,3,NA,36,3.6,12,21,6,3,0,0,0,0,NA,0,0,0,2011
 Jeff Cumberland,NYJ,3,2,NA,35,11.7,17.5,33,8,1,0,0,0,0,NA,0,0,0,2011
 Jordan Cameron,CLE,8,6,NA,33,4.1,5.5,15,2.2,1,0,0,0,0,NA,0,0,0,2011
 Kory Sperry,SDG,16,1,NA,32,2,32,32,18,1,0,0,0,0,NA,0,0,0,2011
 Weslye Saunders,PIT,16,4,NA,29,1.8,7.3,14,1.8,3,1,0,0,0,NA,0,0,0,2011
 Kevin Brock,BUF,2,2,NA,27,13.5,13.5,21,17.5,2,0,0,0,0,NA,0,0,0,2011
 Josh Baker,NYJ,11,3,NA,27,2.5,9,17,4.7,2,1,0,0,0,NA,0,0,0,2011
 Anthony Becht,KAN,9,3,NA,26,2.9,8.7,16,3.3,2,0,0,0,0,NA,0,0,0,2011
 Jim Dray,ARI,10,2,NA,25,2.5,12.5,20,1.5,1,0,0,0,0,NA,0,0,0,2011
 Daniel Graham,TEN,16,2,NA,25,1.6,12.5,21,3,2,1,0,0,0,NA,0,0,0,2011
 Niles Paul,WAS,13,2,NA,25,1.9,12.5,14,0.5,2,0,1,7,0.5,7,0,0,0,2011
 Virgil Green,DEN,15,3,NA,24,1.6,8,9,3.7,2,0,0,0,0,NA,0,0,0,2011
 Garrett Graham,HOU,7,1,NA,24,3.4,24,24,8,1,0,0,0,0,NA,0,0,0,2011
 John Gilmore,NOR,14,3,NA,20,1.4,6.7,9,3.7,1,1,0,0,0,NA,0,0,0,2011
 Justin Peelle,SFO,14,1,NA,19,1.4,19,19,6,1,0,0,0,0,NA,0,0,0,2011
 David Thomas,NOR,5,5,NA,16,3.2,3.2,8,2.8,0,0,0,0,0,NA,0,0,0,2011
 David Ausberry,OAK,12,2,NA,14,1.2,7,10,0.5,2,0,1,-2,-0.2,-2,0,0,0,2011
 Richie Brockel,CAR,11,3,NA,13,1.2,4.3,5,3.3,1,0,3,12,1.1,4,1,0,0,2011
 D.J. Williams,GNB,13,2,NA,13,1,6.5,7,2,0,0,0,0,0,NA,0,0,0,2011
 Lee Smith,BUF,10,4,NA,11,1.1,2.8,6,1,0,0,0,0,0,NA,0,0,0,2011
 Anthony Hill,IND,7,2,NA,10,1.4,5,5,3,0,0,0,0,0,NA,0,0,0,2011
 Jeron Mastrud,MIA,14,1,NA,8,0.6,8,8,3,1,0,0,0,0,NA,0,0,0,2011
 Reggie Kelly,ATL,16,1,NA,7,0.4,7,7,6,0,0,0,0,0,NA,0,0,0,2011
 Julius Thomas,DEN,5,1,NA,5,1,5,5,7,0,0,0,0,0,NA,0,0,0,2011
 Allen Reisner,MIN,6,1,NA,5,0.8,5,5,2,1,0,0,0,0,NA,0,0,0,2011
 Ryan Taylor,GNB,15,1,NA,4,0.3,4,4,0,1,1,0,0,0,NA,0,0,0,2011
 Jim Kleinsasser,MIN,16,1,NA,4,0.3,4,4,3,0,0,0,0,0,NA,0,0,0,2011
 Michael Higgins,NOR,2,1,NA,4,2,4,4,2,0,0,0,0,0,NA,0,0,0,2011
 Stephen Spach,STL,10,2,NA,2,0.2,1,3,0,0,0,0,0,0,NA,0,0,0,2011
 Richard Gordon,OAK,14,1,NA,2,0.1,2,2,7,0,0,0,0,0,NA,0,0,0,2011
